Code,Parent Code,Full Code,Meaning,User Sort Order,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder
FS00,,FS00,Financial Services and Markets Act 2000,,,,,,FS00
FS04,,FS04,Fire and Rescue Services Act 2004,,,,,,FS04
FS05,,FS05,Regulatory Reform (Fire Safety) Order 2005,,,,,,FS05
FS47,,FS47,Fire Services Act 1947,,,,,,FS47
FS74,,FS74,Friendly Societies Act 1974,,,,,,FS74
FS86,,FS86,Financial Services Act 1986,,,,,,FS86
FS90,,FS90,Food Safety Act 1990,,,,,,FS90
FS95,,FS95,Food Safety (General Food Hygiene) Regulations 1995,,,,,,FS95
FS97,,FS97,Fireworks Safety (Regulations) 1997,,,,,,FS97
FT73,,FT73,Fair Trading Act 1973,,,,,,FT73
FW03,,FW03,Fireworks Act 2003,,,,,,FW03
FW04,,FW04,Fireworks Regulations 2004,,,,,,FW04
FW51,,FW51,Fireworks Act 1951,,,,,,FW51
FW86,,FW86,Firework (Safety) Regulations 1986,,,,,,FW86
FY61,,FY61,Forgery Act 1861,,,,,,FY61
GA04,,GA04,Gangmasters (Licensing) Act 2004,,,,,,GA04
GA05,,GA05,Gambling Act 2005,,,,,,GA05
GA45,,GA45,Gaming Act 1845,,,,,,GA45
GA68,,GA68,Gaming Act 1968,,,,,,GA68
GB68,,GB68,Gun Barrel Proof Act 1868,,,,,,GB68
GD75,,GD75,Guard Dogs Act 1975,,,,,,GD75
GE04,,GE04,Genetically Modified Animal Feed (England) Regulations 2004,,,,,,GE04
GE69,,GE69,Genocide Act 1969,,,,,,GE69
GF04,,GF04,Genetically Modified Animal Feed (England) Regulations 2004,,,,,,GF04
GG03,,GG03,Greenhouse Gas Emissions Trading Scheme Regulations 2003,,,,,,GG03
GG80,,GG80,Ground Game Act 1880,,,,,,GG80
GL60,,GL60,Game Licences Act 1860,,,,,,GL60
GM04,,GM04,Genetically Modified Food (England) Regulations 2004,,,,,,GM04
GM31,,GM31,Game Act 1831,,,,,,GM31
GO84,,GO84,"Goods Vehicles (Operators' Licences, Qualifications and Fees) Regulations 1984",,,,,,GO84
GP05,,GP05,General Product Safety Regulations 2005,,,,,,GP05
GP94,,GP94,General Product Safety Regulations 1994,,,,,,GP94
GR04,,GR04,Gender Recognition Act 2004,,,,,,GR04
GS65,,GS65,Gas Act 1965,,,,,,GS65
GS86,,GS86,Gas Act 1986,,,,,,GS86
GV06,,GV06,Passenger and Goods Vehicles (Recording Equipment) (Tachograph Card) Regulations 2006,,,,,,GV06
GV92,,GV92,Goods Vehicles (Community Authorisations) Regulations 1992,,,,,,GV92
GV95,,GV95,Goods Vehicles (Licensing of Operators) Act 1995,,,,,,GV95
HA04,,HA04,Hunting Act 2004,,,,,,HA04
HA06,,HA06,Health Act 2006,,,,,,HA06
HA68,,HA68,Hearing Aid Council Act 1968,,,,,,HA68
HA77,,HA77,National Health Service Act 1977,,,,,,HA77
HA99,,HA99,Health Act 1999,,,,,,HA99
HC57,,HC57,Homicide Act 1957,,,,,,HC57
HC79,,HC79,Hydrocarbon Oil Duties Act 1979,,,,,,HC79
HD47,,HD47,"Harbours, Docks and Piers Clauses Act 1847",,,,,,HD47
HE36,,HE36,Hours of Employment (Convention) Act 1936,,,,,,HE36
HF46,,HF46,Hill Farming Act 1946,,,,,,HF46
HH39,,HH39,House to House Collections Act 1939,,,,,,HH39
HI71,,HI71,Hijacking Act 1971,,,,,,HI71
HL78,,HL78,Highways & Locomotives (Amendment) Act 1878,,,,,,HL78
HM73,,HM73,Hallmarking Act 1973,,,,,,HM73
HO04,,HO04,Housing Act 2004,,,,,,HO04
HO64,,HO64,Housing Act 1964,,,,,,HO64
HO85,,HO85,Housing Act 1985,,,,,,HO85
HO96,,HO96,Housing Act 1996,,,,,,HO96
HP03,,HP03,Horses Passports (England) Regulations 2003,,,,,,HP03
HP04,,HP04,Horse Passports (England) Regulations 2004,,,,,,HP04
HP25,,HP25,Honours (Prevention of Abuses) Act 1925,,,,,,HP25
HP52,,HP52,Hypnotism Act 1952,,,,,,HP52
HP90,,HP90,Horses (Protective Headgear for Young Riders) Act 1990,,,,,,HP90
HR01,,HR01,Human Reproductive Cloning Act 2001,,,,,,HR01
HR92,,HR92,Hares Preservation Act 1892,,,,,,HR92
HS06,,HS06,National Health Service Act 2006,,,,,,HS06
HS08,,HS08,Health and Social Care Act 2008,,,,,,HS08
HS74,,HS74,Health and Safety at Work etc Act 1974,,,,,,HS74
HT04,,HT04,Human Tissue Act 2004,,,,,,HT04
HU90,,HU90,Human Fertilisation and Embryology Act 1990,,,,,,HU90
HY35,,HY35,Highway Act 1835,,,,,,HY35
HY59,,HY59,Highways Act 1959,,,,,,HY59
HY80,,HY80,Highways Act 1980,,,,,,HY80
IA06,,IA06,"Immigration, Asylum & Nationality Act 2006",,,,,,IA06
IA89,,IA89,Indecent Advertisements Act 1889,,,,,,IA89
IA99,,IA99,Immigration and Asylum Act 1999,,,,,,IA99
IC01,,IC01,International Criminal Court Act 2001,,,,,,IC01
IC60,,IC60,Indecency with Children Act 1960,,,,,,IC60
IC82,,IC82,Insurance Companies Act 1982,,,,,,IC82
ID06,,ID06,Identity Cards Act 2006,,,,,,ID06
ID81,,ID81,Indecent Displays (Control) Act 1981,,,,,,ID81
IG34,,IG34,Incitement to Disaffection Act 1934,,,,,,IG34
IL29,,IL29,Infant Life (Preservation) Act 1929,,,,,,IL29
IM06,,IM06,Accession (Immigration and Worker Authorisation) Regulations 2006,,,,,,IM06
IM71,,IM71,Immigration Act 1971,,,,,,IM71
IN38,,IN38,Infanticide Act 1938,,,,,,IN38
IN57,,IN57,Inclosure Act 1857,,,,,,IN57
IP65,,IP65,Industrial and Provident Societies Act 1965,,,,,,IP65
IP78,,IP78,Internationally Protected Persons Act 1978,,,,,,IP78
IQ05,,IQ05,Inquiriers Act 2005,,,,,,IQ05
IR82,,IR82,Iron and Steel Act 1982,,,,,,IR82
IR86,,IR86,Insolvency Rules 1986,,,,,,IR86
IS76,,IS76,Insolvency Act 1976,,,,,,IS76
IS86,,IS86,Insolvency Act 1986,,,,,,IS86
IT82,,IT82,Industrial Training Act 1982,,,,,,IT82
IT85,,IT85,Interception of Communications Act 1985,,,,,,IT85
IX85,,IX85,Intoxicating Substances (Supply) Act 1985,,,,,,IX85
JP61,,JP61,Justices of the Peace Act 1361,,,,,,JP61
JS95,,JS95,Jobseekers Act 1995,,,,,,JS95
JY74,,JY74,Juries Act 1974,,,,,,JY74
KS97,,KS97,Knives Act 1997,,,,,,KS97
LA74,,LA74,Legal Aid Act 1974,,,,,,LA74
LA76,,LA76,Lotteries and Amusement Act 1976,,,,,,LA76
LA83,,LA83,Litter Act 1983,,,,,,LA83
LA88,,LA88,Legal Aid Act 1988,,,,,,LA88
LB43,,LB43,Libel Act 1843,,,,,,LB43
LB98,,LB98,Libraries Offences Act 1898,,,,,,LB98
LC72,,LC72,Land Charges Act 1972,,,,,,LC72
LC73,,LC73,Land Compensation Act 1973,,,,,,LC73
LC96,,LC96,London Cab Act 1896,,,,,,LC96
LG02,,LG02,Licensing Act 1902,,,,,,LG02
LG03,,LG03,Licensing Act 2003,,,,,,LG03
LG64,,LG64,Licensing Act 1964,,,,,,LG64
LG72,,LG72,Licensing Act 1872,,,,,,LG72
LG83,,LG83,Licensing (Occasional Permissions) Act 1983,,,,,,LG83
LH31,,LH31,London Hackney Carriage Act 1831,,,,,,LH31
LH43,,LH43,London Hackney Carriage Act 1843,,,,,,LH43
LM76,,LM76,Local Government (Miscellaneous Provisions) Act 1976,,,,,,LM76
LM82,,LM82,Local Government (Miscellaneous Provisions) Act 1982,,,,,,LM82
LM98,,LM98,Landmines Act 1998,,,,,,LM98
LN63,,LN63,London Government Act 1963,,,,,,LN63
LN69,,LN69,Late Night Refreshment Houses Act 1969,,,,,,LN69
LO72,,LO72,Local Government Act 1972,,,,,,LO72
LP25,,LP25,Law of Property Act 1925,,,,,,LP25
LP80,,LP80,Licensed Premises (Exclusion of Certain Persons) Act 1980,,,,,,LP80
LR01,,LR01,London Regional Transport Byelaws,,,,,,LR01
LR02,,LR02,Land Registration Act 2002,,,,,,LR02
LR25,,LR25,Land Registration Act 1925,,,,,,LR25
LT85,,LT85,Landlord and Tenant's Act 1985,,,,,,LT85
MA58,,MA58,Manoeuvres Act 1958,,,,,,MA58
MA61,,MA61,Mock Auctions Act 1961,,,,,,MA61
MA75,,MA75,Medicines (Advertising of Medicinal Products) Regulations 1975,,,,,,MA75
MA78,,MA78,Medicines (Advertising to Medical and Dental Practitioners) Regulations 1978,,,,,,MA78
MA83,,MA83,Medical Act 1983,,,,,,MA83
MB67,,MB67,Marine etc Broadcasting Offences Act 1967,,,,,,MB67
MC03,,MC03,Motor Cycles Etc. (Single Vehicle Approval) Regulations 2003,,,,,,MC03
MC05,,MC05,Mental Capacity Act 2005,,,,,,MC05
MC11,,MC11,Maritime Conventions Act 1911,,,,,,MC11
